title,year,All Intl,Total Gross,USA,"Europe, Middle East, and Africa",Latin America,Asia Pacific,China
Close Encounters of the Third Kind,1980,0,15693175,15693175,no data,no data,no data,no data
First Family,1980,0,15198912,15198912,no data,no data,no data,no data
Prom Night,1980,0,14796236,14796236,no data,no data,no data,no data
The Nude Bomb,1980,0,14662035,14662035,no data,no data,no data,no data
"Oh, God! Book II",1980,0,14504277,14504277,no data,no data,no data,no data
The Competition,1980,0,14287755,14287755,no data,no data,no data,no data
Wholly Moses!,1980,0,14155617,14155617,no data,no data,no data,no data
Mary Poppins,1980,0,14000000,14000000,no data,no data,no data,no data
The Last Married Couple in America,1980,0,12835544,12835544,no data,no data,no data,no data
Used Cars,1980,0,11715321,11715321,no data,no data,no data,no data
The Last Flight of Noah's Ark,1980,0,11000000,11000000,no data,no data,no data,no data
The Mirror Crack'd,1980,0,11000000,11000000,no data,no data,no data,no data
The Fiendish Plot of Dr. Fu Manchu,1980,0,10697276,10697276,no data,no data,no data,no data
Stardust Memories,1980,0,10389003,10389003,no data,no data,no data,no data
The Hollywood Knights,1980,0,10000000,10000000,no data,no data,no data,no data
Serial,1980,0,9870727,9870727,no data,no data,no data,no data
Somewhere in Time,1980,0,9709597,9709597,no data,no data,no data,no data
Saturn 3,1980,0,9000000,9000000,no data,no data,no data,no data
Tribute,1980,0,9000000,9000000,no data,no data,no data,no data
The Formula,1980,0,8894289,8894289,no data,no data,no data,no data
Mad Max,1980,0,8750000,8750000,no data,no data,no data,no data
Battle Creek Brawl,1980,0,8527743,8527743,no data,no data,no data,no data
The Awakening,1980,0,8415112,8415112,no data,no data,no data,no data
Fatso,1980,0,7653061,7653061,no data,no data,no data,no data
How to Become a Detective,1980,0,7500000,7500000,no data,no data,no data,no data
How to Beat the High Cost of Living,1980,0,7500000,7500000,no data,no data,no data,no data
Foxes,1980,0,7470348,7470348,no data,no data,no data,no data
The Big Red One,1980,0,7206220,7206220,no data,no data,no data,no data
The Stunt Man,1980,0,7063886,7063886,no data,no data,no data,no data
Where the Buffalo Roam,1980,0,6659377,6659377,no data,no data,no data,no data
The Gong Show Movie,1980,0,6621520,6621520,no data,no data,no data,no data
Motel Hell,1980,0,6342668,6342668,no data,no data,no data,no data
Little Miss Marker,1980,0,6321392,6321392,no data,no data,no data,no data
Oh Heavenly Dog,1980,0,6216067,6216067,no data,no data,no data,no data
Divine Madness,1980,0,5318098,5318098,no data,no data,no data,no data
In God We Trust (or Gimme That Prime Time Religion),1980,0,5215015,5215015,no data,no data,no data,no data
He Knows You're Alone,1980,0,4875436,4875436,no data,no data,no data,no data
Coast to Coast,1980,0,4495445,4495445,no data,no data,no data,no data
Melvin and Howard,1980,0,4309490,4309490,no data,no data,no data,no data
Roadie,1980,0,4226370,4226370,no data,no data,no data,no data
